,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,5,3,-0.20714170777431132,1,3,3,0,4,0,5,2,2,0,5,6,4,1.0509937888999856,0.8786680880058696,1,1,12,13,2,4,2,0.5754248369676035,-0.2886528311122454,-0.9445906057378156,-0.4593025408311876,1,0,1,-0.7934337933349002,1.1618515874685553,0,0.3703334392167798,1,0,2,1,3,1,2,6,6,0,2,0.35100032086652694,2,-0.7521758378613592,0.2165031608388436,-0.3593249004055313,0,-0.2702083542015609,0,0,1,2,8,4,208500
1,0,3,-0.09188637231949037,1,3,3,0,2,0,24,1,2,0,2,5,7,0.15673371079690998,-0.4295769652193609,1,1,8,8,3,4,1,1.171992119373828,-0.2886528311122454,-0.6412279930944917,0.4664649160883461,1,0,1,0.25714042978945445,-0.7951632272572445,0,-0.48251191458524123,0,1,2,0,3,1,3,4,6,1,2,-0.060731012615303295,2,1.6261947918523714,-0.704483250333654,-0.3593249004055313,0,-0.2702083542015609,0,0,4,1,8,4,181500
2,5,3,0.07347997855047012,1,0,3,0,4,0,5,2,2,0,5,6,4,0.9847523016330911,0.8302145675160463,1,1,12,13,2,4,2,0.09290718208021594,-0.2886528311122454,-0.3016429789415173,-0.3133687545187488,1,0,1,-0.6278260340246571,1.1893506246778172,0,0.5150125617367655,1,0,2,1,3,1,2,4,6,1,2,0.6317262300586839,2,-0.7521758378613592,-0.07036145903455729,-0.3593249004055313,0,-0.2702083542015609,0,0,8,2,8,4,223500
3,6,3,-0.09689747386100432,1,0,3,0,0,0,6,2,2,0,5,6,4,-1.8636316508433721,-0.720298088158301,1,1,13,15,3,4,0,-0.49927357619066876,-0.2886528311122454,-0.06166956894008201,-0.6873240819443732,1,2,1,-0.5217335632165325,0.9372761169262505,0,0.3836591478699364,1,0,1,0,3,1,2,5,6,1,3,0.7908042452675729,2,-0.7521758378613592,-0.1760484242510734,4.092523739317571,0,-0.2702083542015609,0,0,1,0,8,0,140000
4,5,3,0.37514829134961014,1,0,3,0,2,0,15,2,2,0,5,7,4,0.9516315579996439,0.7333075265363995,1,1,12,13,2,4,2,0.4635684715164364,-0.2886528311122454,-0.17486457365774016,0.1996797129859189,1,0,1,-0.045611255199583686,1.6178772878554806,0,1.299325699608267,1,0,2,1,4,1,2,7,6,1,3,1.6984846849888804,2,0.7801971853099035,0.5637603322645395,-0.3593249004055313,0,-0.2702083542015609,0,0,11,2,8,4,250000
5,4,3,0.3606160968792197,1,0,3,0,4,0,11,2,2,0,0,4,4,0.7197863525655132,0.4910399240872828,1,1,12,13,3,4,5,0.632449650727022,-0.2886528311122454,-1.1392860138521876,-0.596115465499099,1,0,1,-0.9486910676882531,0.5018746944462716,0,-0.2921446481115758,1,0,1,1,1,1,3,3,6,0,2,0.03284429044874903,2,-0.43293145803401284,-0.25153911369144205,-0.3593249004055313,17,-0.2702083542015609,0,10,9,3,8,4,143000
6,0,3,-0.04337890939763529,1,3,3,0,4,0,21,2,2,0,2,7,4,1.084114532533433,0.9755751289855163,1,1,12,13,2,4,2,2.029557587832776,-0.2886528311122454,-0.5665192899808374,1.4332762504082532,1,0,1,1.3749928051335953,-0.7951632272572445,0,0.33987467658099335,1,0,2,0,3,1,2,5,6,1,2,0.7627316543483571,2,1.283007083537974,0.15611060928654868,-0.3593249004055313,0,-0.2702083542015609,0,0,7,1,8,4,307000
7,5,3,-0.013512744210212127,1,0,3,0,0,0,14,4,2,0,5,6,5,0.05737147989656824,-0.5749375266888309,1,1,6,6,3,4,1,0.9109939333211048,-0.09022046788626462,-0.7951731995105069,0.11303152736290836,1,0,1,-0.14394086229004052,1.45746623746812,0,1.0937290518167084,1,0,2,1,3,1,3,5,6,2,2,0.05155935106155949,2,1.1233848936243007,2.3755368788333873,3.37237175348001,0,-0.2702083542015609,0,2,10,3,8,4,200000
8,4,4,-0.44065903960886155,1,3,3,0,4,0,17,0,2,0,0,6,4,-1.3336997527082162,-1.689368497954768,1,1,3,15,3,4,0,-0.9730181828073765,-0.2886528311122454,0.8710572699334213,-0.2404018613625294,1,2,1,-0.3638886676239571,0.9281097711898298,0,0.49216848975992566,0,0,2,0,2,2,3,6,2,2,2,-0.023300891389682367,2,-0.03387598324982984,-0.704483250333654,2.9959286699740124,0,-0.2702083542015609,0,0,3,2,8,0,129900
9,14,3,-0.31037039952949874,1,3,3,0,0,0,3,0,0,1,1,4,5,-1.0687338036406382,-1.689368497954768,1,1,8,8,3,4,0,0.8934478367797453,-0.2886528311122454,-0.9672296066813473,-0.151473460328387,1,0,1,-0.22156949946671697,-0.7951632272572445,0,-0.8346913575615222,1,0,1,0,2,2,3,3,6,2,1,-1.2538161266819705,2,-0.7521758378613592,-0.644090698781359,-0.3593249004055313,0,-0.2702083542015609,0,0,0,2,8,4,118000
10,0,3,0.06846887700895615,1,3,3,0,4,0,19,2,2,0,2,4,4,-0.20759446917100974,-0.9625656906074178,3,1,6,6,3,4,1,1.014077250501592,-0.2886528311122454,-0.9808130072474662,-0.03974290518292602,1,0,1,-0.3173114853179513,-0.7951632272572445,0,-0.9051272461567784,1,0,1,0,3,1,3,3,6,0,1,-0.41631716425870213,2,-0.7521758378613592,-0.704483250333654,-0.3593249004055313,0,-0.2702083542015609,0,0,1,2,8,4,129500
11,5,3,0.1410296273300782,1,0,3,0,4,0,16,2,2,0,5,8,4,1.1172352761668802,1.0240286494753397,3,1,14,15,0,4,2,1.215857360727227,-0.2886528311122454,-0.8834653031902803,0.2680861753198746,1,0,1,0.0501307306516506,1.8218284804908391,0,1.5391884553650854,1,0,3,0,4,1,0,9,6,2,3,1.2306081696686189,2,0.4210472580041388,-0.38742235468410563,-0.3593249004055313,0,-0.2702083542015609,0,0,6,0,6,5,345000
12,0,3,0.24566142751688957,1,1,3,0,4,0,19,2,2,0,2,4,5,-0.3069567000713515,-1.1079262520768878,3,1,6,10,3,4,1,0.6434159610653717,-0.2886528311122454,-0.8879931033789866,-0.3316104778078036,1,4,1,-0.6485270039384374,-0.7951632272572445,0,-1.1487973472430701,1,0,1,0,2,1,3,2,6,0,1,-0.5660376491611858,2,0.36517949153435314,-0.704483250333654,-0.3593249004055313,0,2.887404029064304,0,0,8,2,8,4,144000
13,0,3,0.013547204113963223,1,0,3,0,4,0,5,2,2,0,2,6,4,1.1503560198003273,1.072482169965163,1,1,12,13,2,4,2,-0.9730181828073765,-0.2886528311122454,2.0980911210728355,0.9954748914709368,1,0,1,0.8574685572890857,-0.7951632272572445,0,-0.04085985636633749,0,0,2,0,3,1,2,5,6,1,3,1.7171997456016908,2,0.5248016814480263,-0.20624470002722087,-0.3593249004055313,0,-0.2702083542015609,0,0,7,1,6,5,279500
14,0,3,0.040406708376478015,1,0,3,0,0,0,12,2,2,0,2,5,4,-0.373198187338246,-1.2048332930565346,3,1,8,8,3,4,1,0.634642912794692,-0.2886528311122454,-0.10694757082714527,0.4459429773881594,1,4,1,0.23385183863645154,-0.7951632272572445,0,-0.4996449685678711,1,0,1,1,2,1,3,3,6,1,1,-0.5660376491611858,2,-0.7521758378613592,2.5114201198260506,2.5212830429447113,0,-0.2702083542015609,0,0,4,2,8,4,157000
15,3,4,-0.44065903960886155,1,3,3,0,0,0,3,2,2,0,1,6,7,-1.3999412399751108,0.781761047026223,1,1,13,14,3,4,0,-0.9730181828073765,-0.2886528311122454,0.5993892586110416,-0.5140277106983522,1,0,1,-0.7986090358133452,-0.7951632272572445,0,-1.259210361797796,0,0,1,0,2,1,3,3,6,0,2,0.4820057451562002,2,-0.36908258206854355,0.9865081931306039,-0.3593249004055313,0,-0.2702083542015609,0,0,6,1,8,4,132000
16,0,3,0.0725779802729976,1,0,3,0,1,0,12,2,2,0,2,5,6,-0.04199075100377351,-0.720298088158301,1,1,13,14,3,4,1,0.2946872923058507,-0.2886528311122454,-0.3197541796963426,-0.12183065998367285,1,0,1,-0.410465849929963,-0.7951632272572445,0,-0.973659462087298,1,0,1,0,2,1,3,3,6,1,2,0.03284429044874903,2,-0.7521758378613592,-0.704483250333654,-0.3593249004055313,0,-0.2702083542015609,0,10,2,4,8,4,149000
17,10,3,0.027478066399372017,1,3,3,0,4,0,19,2,2,2,2,3,4,-0.14135298190411524,-0.8656586496277711,1,1,8,8,3,4,3,-0.9730181828073765,-0.2886528311122454,-1.28417561989079,-2.411166932760057,1,4,1,0.34511955192302113,-0.7951632272572445,0,-0.417787043984195,0,0,2,0,2,2,3,4,6,0,2,0.20127983596404322,2,-0.7521758378613592,-0.704483250333654,-0.3593249004055313,0,-0.2702083542015609,0,6,9,0,8,4,90000
18,0,3,0.31852284393050245,1,3,3,0,4,0,20,5,2,0,2,4,4,1.084114532533433,0.927121608495693,1,1,12,13,3,4,2,0.4438291129074069,-0.2886528311122454,-0.22467037573350976,0.12899303524083136,1,0,1,-0.1258275136154827,-0.7951632272572445,0,-0.7642554689662661,1,0,1,1,3,1,2,4,6,0,2,0.4820057451562002,2,-0.7521758378613592,0.8355268142498666,-0.3593249004055313,0,-0.2702083542015609,0,0,5,2,8,4,159000
19,0,3,-0.2963393152132597,1,3,3,0,4,0,12,2,2,0,2,4,5,-0.4394396746051405,-0.9625656906074178,3,1,3,10,3,4,1,0.1323858992982749,-0.2886528311122454,-0.09562807035537946,-0.06482527470537644,1,4,1,0.45638726520959066,-0.7951632272572445,0,-0.3359291194005189,0,0,1,0,3,1,3,4,2,0,1,-0.8374060280469375,2,-0.7521758378613592,-0.704483250333654,-0.3593249004055313,0,-0.2702083542015609,0,0,4,3,0,0,139000
20,5,3,0.37063829996224756,1,0,3,0,0,0,16,2,2,0,5,7,4,1.1172352761668802,1.0240286494753397,1,1,12,13,2,4,2,-0.9730181828073765,-0.2886528311122454,1.3374206893701728,0.22932251333063305,1,0,1,-0.011972179089690562,1.9959890494828307,0,1.6381794339313913,0,0,3,1,4,1,2,7,6,1,3,1.7780236925933248,2,1.1632904411027192,1.6206299844297007,-0.3593249004055313,0,-0.2702083542015609,0,0,10,0,6,5,325300
21,3,4,-0.30746396063542064,1,3,0,0,4,0,9,2,2,0,1,6,6,-1.3668204963416635,-1.689368497954768,1,1,13,14,3,4,2,-0.9730181828073765,-0.2886528311122454,0.15792874021217482,-0.9586697158690641,1,0,1,-0.14135324105081798,-0.7951632272572445,0,-0.775677504954686,0,0,1,0,3,1,2,4,6,1,1,-0.9029087401917743,0,-0.7521758378613592,-0.704483250333654,2.9959286699740124,0,-0.2702083542015609,0,0,5,1,8,4,139400
22,0,3,-0.07765484394159074,1,3,3,0,4,0,5,2,2,0,2,7,4,1.0178730452665383,0.8302145675160463,3,1,12,13,2,4,2,-0.9730181828073765,-0.2886528311122454,2.7387748477747804,1.6407758528212522,1,0,1,1.6363425502950728,-0.7951632272572445,0,0.5321456157193953,0,0,2,0,3,1,2,5,6,1,2,0.2854976087216903,2,0.6125938859005466,1.6961206738700694,-0.3593249004055313,0,-0.2702083542015609,0,0,8,2,8,4,230000
23,11,4,-0.6306800100630707,1,3,3,0,4,0,10,2,2,4,2,4,6,0.15673371079690998,-0.4295769652193609,1,1,5,5,3,4,2,0.8693219540353758,-0.2886528311122454,-0.8313956010201575,-0.03974290518292602,1,4,1,-0.2655590605335003,-0.7951632272572445,0,-0.8670537928620453,1,0,1,0,3,1,3,4,6,1,2,0.46329068454338973,2,0.04593511170700675,0.9563119173544564,-0.3593249004055313,0,-0.2702083542015609,0,0,5,1,8,4,129900
24,0,3,-0.22758700206368823,1,0,3,0,4,0,19,2,2,0,2,4,7,-0.108232238270668,0.781761047026223,1,1,9,10,3,2,1,-0.5606849140854272,3.853622751230103,-0.8223400006427448,0.005861403039711112,1,0,1,-0.2655590605335003,-0.7951632272572445,0,-0.8670537928620453,1,0,1,0,3,1,2,4,6,1,1,-0.9496963917238004,2,2.488154617386207,0.6543491595929818,-0.3593249004055313,0,-0.2702083542015609,0,0,4,4,8,4,154000
25,0,3,0.3721416304247018,1,3,3,0,0,0,16,2,2,0,2,7,4,1.1834767634337746,1.072482169965163,1,1,12,13,2,4,2,-0.9730181828073765,-0.2886528311122454,2.2610919278662633,1.1596504010724304,1,0,1,1.1317564086466758,-0.7951632272572445,0,0.16092944609574783,0,0,2,0,3,1,2,5,6,1,3,1.9511380032618217,2,-0.7521758378613592,0.14101247139847495,-0.3593249004055313,0,-0.2702083542015609,0,0,6,3,8,4,256300
26,0,3,-0.33241924631216013,1,3,3,0,0,0,12,2,2,0,2,4,6,-0.6712848800392712,0.7333075265363995,1,1,13,14,3,4,1,-0.4597948589726098,2.725038685382337,-0.8766736029072207,-0.3589730627413859,1,4,1,-0.679578458809108,-0.7951632272572445,0,-1.17164141921991,0,1,1,0,3,1,2,3,6,0,2,0.4820057451562002,2,1.0196304701804133,-0.2213428379152946,-0.3593249004055313,0,-0.2702083542015609,0,0,4,4,8,4,134800
27,0,3,0.09633060157977374,1,3,3,0,4,0,16,2,2,0,2,7,4,1.1834767634337746,1.1209356904549863,1,1,12,13,2,4,2,1.6983750156146145,-0.2886528311122454,-0.18392017403515282,1.4743201278086266,1,0,1,1.4008690175258207,-0.7951632272572445,0,0.35891140322835985,1,0,2,0,3,1,2,5,6,1,3,1.399043715183913,2,-0.7521758378613592,0.050423644070032574,-0.3593249004055313,0,-0.2702083542015609,0,0,4,4,8,4,306000
28,0,3,0.5817058968908153,1,0,3,0,1,0,12,2,2,0,2,4,5,-0.47256041823858774,0.5879469650669296,1,1,8,8,3,4,1,1.8277774776071412,-0.2886528311122454,-0.8155483003596854,0.9726727373596182,1,4,1,1.1317564086466758,-0.7951632272572445,0,0.16092944609574783,1,0,1,0,2,1,3,4,6,2,1,-0.7204368992168722,2,1.546383696895535,3.1908363247893687,-0.3593249004055313,0,-0.2702083542015609,0,0,11,0,8,4,207500
29,1,4,-0.42021374531948463,1,0,3,0,4,0,3,1,7,0,2,3,5,-1.4661827272420052,-1.689368497954768,1,1,8,8,3,4,0,-0.9730181828073765,-0.2886528311122454,-0.10694757082714527,-1.2254549189714914,1,1,0,-1.6628745297136764,-0.7951632272572445,0,-1.8950370318198386,0,0,1,0,1,1,1,2,6,0,1,-1.0900593463198789,2,-0.3611014725728599,-0.704483250333654,1.0646119806823726,0,-0.2702083542015609,0,0,4,2,8,4,68500
30,6,0,-0.20213060623279736,1,3,3,0,4,0,9,1,2,0,5,3,3,-1.6980279326761358,-1.689368497954768,2,1,3,3,3,1,0,-0.9730181828073765,-0.2886528311122454,0.18509554134441278,-0.9313071309354819,1,4,0,-1.3290713898539677,0.7356165107249971,0,-0.37780991802472524,0,0,1,0,3,1,3,4,6,0,1,-1.0432716947878526,0,-0.7521758378613592,0.1108161956223275,2.455814680595842,0,-0.2702083542015609,0,0,6,2,8,4,40000
31,0,3,-0.19772083687626507,1,0,3,0,1,0,19,2,2,0,2,4,5,-0.1744737255375625,1.0240286494753397,1,1,6,6,3,4,1,-0.9730181828073765,-0.2886528311122454,1.4958936959748943,0.388937592109863,1,2,1,0.16916130765588783,-0.7951632272572445,0,-0.5472367851862875,0,0,1,1,3,1,2,4,6,0,1,-0.9450176265705977,2,-0.7521758378613592,0.2768957123911385,-0.3593249004055313,0,-0.2702083542015609,0,0,5,2,8,4,149350
32,0,3,0.05333535035358402,1,3,3,0,0,0,5,2,2,0,2,7,4,1.1834767634337746,1.072482169965163,1,1,12,13,2,4,2,-0.9730181828073765,-0.2886528311122454,1.5094770965410131,0.4026188845766541,1,0,1,0.1846870350912231,-0.7951632272572445,0,-0.5358147491978675,0,0,2,0,3,1,2,5,6,0,2,0.05155935106155949,2,-0.7521758378613592,-0.25153911369144205,-0.3593249004055313,0,-0.2702083542015609,0,0,0,2,8,4,179900
33,0,3,0.0035250010309353158,1,0,3,0,4,0,12,2,2,0,2,4,4,-0.40631893097169325,-1.253286813546358,3,1,3,3,3,4,1,1.2597226020806258,-0.2886528311122454,-0.4238935840365881,0.7765742120022786,1,2,1,1.3905185325689307,-0.7951632272572445,0,0.35129671256941325,0,1,1,1,4,1,2,4,6,1,2,-0.12155495960693731,2,-0.7521758378613592,-0.1307540105868522,-0.3593249004055313,0,-0.2702083542015609,0,0,3,4,8,4,165500
